,word,frequency
573,écouté,19
498,choisis,19
930,présent,19
2007,fin,18
1336,soucie,18
1640,morts,18
375,prête,18
521,achète,18
2586,rumeur,18
3008,supporter,18
1473,dure,18
807,continue,18
2766,cartes,18
1912,prendrai,18
7919,chine,18
1001,poupée,18
4798,unique,18
2953,capable,18
620,cache,18
5084,mémoire,18
2574,habitué,18
4392,chinois,18
786,compter,18
1496,terminée,18
1926,artiste,18
3388,feuilles,18
2985,devient,18
195,certain,18
2390,suivi,18
1206,étage,18
1173,objectif,18
7067,résultat,18
7094,auriez,18
356,énervé,18
5683,quitter,18
3268,ennemi,18
3534,prisonniers,18
6015,fière,18
2658,clairement,18
5166,informations,18
1795,voler,18
926,viendrai,18
3256,ridicule,18
1300,embrassé,18
641,ignore,18
6162,information,18
5668,toilettes,18
7621,seront,18
3894,préparer,18
5128,musée,18
9746,généralement,18
1320,peinture,18
2055,forte,18
2324,vidéo,18
782,ski,18
3690,longs,18
1111,agir,18
1108,connaissons,18
528,pauvre,18
372,mentir,18
1097,reposer,18
531,ivre,17
3098,rencontre,17
1422,ravi,17
4729,foule,17
1176,copine,17
5990,façon,17
3670,escaliers,17
2546,vieil,17
839,excuser,17
5591,convient,17
1526,connaissent,17
653,proche,17
5125,oublier,17
2372,prouver,17
3845,œil,17
4416,exemple,17
2318,vint,17
5512,atteint,17
684,gentille,17
5194,mathématiques,17
153,attrape,17
2253,toucher,17
5946,bout,17
9116,durant,17
2208,absent,17
5951,matins,17
321,promets,17
332,réveillé,17
1835,nature,17
2136,bagages,17
2396,grandi,17
387,fonctionné,17
4649,horloge,17
818,méchant,17
1043,date,17
6961,posa,17
476,mettez,17
3722,france,17
2473,fermer,17
1050,instant,17
950,excité,17
2449,allumé,17
6995,jouait,17
4588,souffle,17
1133,fatigués,17
2401,dépourvu,17
279,prépare,17
6681,résolu,17
3523,différents,17
2976,tenait,17
3251,congé,17
3154,zoo,17
6804,plupart,17
1989,samedi,17
1293,preuve,17
3085,contrat,17
1908,manquer,17
1913,dirai,17
1969,véritable,17
582,promis,17
9356,soudain,17
7904,couramment,17
358,aveugle,17
4781,délicieux,17
479,trompé,16
887,cacher,16
416,joli,16
6172,poème,16
7362,croyais,16
6007,progrès,16
2361,londres,16
5921,épouser,16
5935,lycée,16
3047,portable,16
2600,neuf,16
2306,retourne,16
3315,répondu,16
8272,vingt,16
4596,dépend,16
3713,partage,16
1961,sensible,16
5941,nulle,16
5053,conseilla,16
1006,couvert,16
1253,admire,16
7099,sentiments,16
8477,jackson,16
97,conduis,16
1658,danse,16
5183,imagination,16
11459,capitale,16
5227,suggère,16
3385,moteur,16
6006,incroyablement,16
5401,devenue,16
6872,société,16
4828,université,16
5661,signifie,16
3862,vendu,16
810,siège,16
5147,supporte,16
1427,épuisé,16
5998,pierre,16
2074,trucs,16
283,touche,16
1143,perte,16
94,pleuré,16
2197,satisfaits,16
2667,roses,16
3921,amérique,16
861,sentais,16
6905,journaux,16
2671,infirmière,16
1594,fermés,16
8223,élèves,16
654,vert,16
5051,déjeuné,16
837,cuisinier,16
1443,mensonge,16
543,construit,16
2883,comporte,16
1449,arrivera,16
3222,japonaise,16
1805,ordres,16
6104,intéresse,16
2258,changement,16
4590,sorte,16
6383,pensez,16
5373,lettres,16
9099,difficultés,16
5023,traite,16
4673,tourner,16
2499,prisonnier,15
2127,tiré,15
2942,serviette,15
1532,flics,15
1163,coupé,15
270,pleure,15
1091,vivant,15
475,clair,15
3023,attendais,15
272,mens,15
3041,politique,15
1855,violon,15
668,travaillons,15
474,bord,15
3781,retourner,15
3936,vendre,15
4591,voisin,15
1731,adorable,15
1861,respecte,15
3376,mauvaises,15
4844,odeur,15
8995,belles,15
7004,reconnu,15
310,frappé,15
141,courage,15
577,rencontrés,15
3913,humeur,15
3012,ressens,15
4515,prévois,15
1622,joues,15
553,souci,15
7060,merveilleuse,15
5030,soirée,15
5633,mêmes,15
432,arrêtez,15
2554,rentre,15
879,riz,15
1192,malheureux,15
3443,mangea,15
3062,connaissais,15
2642,bouche,15
2039,cloche,15
947,régime,15
5035,sentit,15
9039,rempli,15
4550,choisir,15
4540,faisais,15
1892,entré,15
3313,tomba,15
1791,fallait,15
903,sauvé,15
3317,amuser,15
6155,allait,15
2618,soyons,15
1278,sentis,15
2717,adorent,15
4180,fiers,15
2327,écrivain,15
1250,excitant,15
4747,loyer,15
1172,confiant,15
3228,possibilité,15
3158,joie,15
2768,connaissance,15
4574,conscient,15
1683,petits,15
6800,poser,15
4678,allée,15
323,retraite,15
3141,impressionné,15
2538,canadien,15
8665,comportement,15
3479,vaisselle,15
41,tombée,15
546,sauter,15
1087,refusé,15
5296,amélioré,14
4386,courut,14
2423,toit,14
1057,frappa,14
2310,réveiller,14
2315,failli,14
1938,différente,14
5142,monter,14
158,mignon,14
5984,donnerai,14
5547,pensait,14
2308,promenade,14
3823,patience,14
1311,jeux,14
3343,épousé,14
7379,accusé,14
5303,urgence,14
590,épaules,14
6038,sept,14
60,fantastique,14
2387,inutile,14
1834,films,14
5414,rendit,14
1611,choc,14
5942,voulu,14
5408,kyoto,14
3327,mangent,14
4548,puni,14
5537,suspect,14
2295,spectacle,14
426,chaude,14
7586,rues,14
5422,bonheur,14
443,dedans,14
1596,sortons,14
8520,traversé,14
748,riches,14
1472,essayons,14
2058,beauté,14
5830,décida,14
1193,dérange,14
1477,mignonne,14
7462,montagne,14
4698,fleur,14
5457,occasion,14
3969,froide,14
799,souris,14
406,voyons,14
1010,sert,14
7958,posé,14
6507,met,14
1918,soldat,14
2220,travailles,14
2587,prévu,14
3621,boisson,14
3067,baseball,14
5319,coïncidence,14
8365,excellente,14
9231,essayais,14
1414,fiable,14
2699,poulet,14
5675,voudriez,14
3478,oreilles,14
3994,trouvait,14
8005,club,14
6790,sérieusement,14
4011,article,14
5326,décevant,14
320,remarqué,14
6785,sort,14
2605,interdit,14
2720,découvert,14
5597,discuté,14
2218,semblez,14
8977,tableaux,14
1565,attendez,14
5087,ouvrit,14
1558,effrayé,14
659,tien,14
2162,proches,14
1152,échappé,14
1550,naïf,14
4378,manière,14
4026,continua,14
6585,efforts,14
8092,suggestion,14
5220,explosion,14
1743,américain,14
1874,porté,14
1579,repos,14
3950,ferait,14
8376,température,14
4812,élevé,14
8261,confortable,14
392,gratuit,14
5473,blanche,14
6943,bouton,14
1037,partit,14
3682,récemment,14
2262,contact,14
5098,critique,14
412,regard,14
801,inquiète,14
4512,retourné,13
7340,campagne,13
2200,arrivés,13
1776,bananes,13
2261,descends,13
3933,compagnie,13
350,attendrai,13
1292,plans,13
